ID,Title,Link,Source
2022-11-16-open-house-bora,Open House: Bora Posters,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-11-16%20JHS%20Open%20House%20Boards_Bora.pdf,PPS
2022-11-14-historic-landmarks-video,Historic Landmarks Commission: Video,https://www.youtube.com/watch?v=3djVArVL6fM,City of Portland
2022-11-03-opb-taking-shape,Modernization Plan for Portland's Jefferson High Taking Shape,https://www.opb.org/article/2022/11/03/oregon-education-schools-jefferson-high-north-portland-upgrade-rennovations-modernize/,OPB
2022-11-02-town-hall-presentation,Town Hall Meeting: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/JHS%20Town%20Hall%20Meeting%2011.02.2022%20FINAL.pdf,PPS
2022-11-02-planning-committee-video,Comprehensive Planning Committee Meeting #6: Video,https://www.youtube.com/watch?v=kRIjlMnddXQ,PPS
2022-11-02-planning-committee-presentation,Comprehensive Planning Committee Meeting #6: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-11-02%20%20CPC%20Meeting%206_FINAL.pdf,PPS
2022-10-13-planning-committee-video,Comprehensive Planning Committee Meeting #5: Video,https://www.youtube.com/watch?v=bvFlBrJSjKc,PPS
2022-10-12-town-hall-q-and-a,Town Hall Meeting: Q and A,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Q%20and%20A%20at%20Town%20Hall_5%2010-12-22.pdf,PPS
2022-10-12-planning-committee-presentation,Comprehensive Planning Committee Meeting #5: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-10-12%20CPC%20Meeting%205_FINAL.pdf,PPS
2022-10-05-bond-accountability-committee-video,Bond Accountability Committee: Video,https://www.youtube.com/watch?v=J-eJx5qfU7Y&t=2220s,PPS
2022-09-21-planning-committee-video,Comprehensive Planning Committee Meeting #4: Video,https://www.youtube.com/watch?v=Iyo-lvu4Dek,PPS
2022-09-21-planning-committee-presentation,Comprehensive Planning Committee Meeting #4: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-09-21%20CPC%20Meeting%204_PREVIEW.pdf,PPS
2022-09-21-planning-committee-minutes,Comprehensive Planning Committee Meeting #4: Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-09-21%20CPC-4%20Meeting%20Minutes.pdf,PPS
2022-09-21-planning-committee-engagement,Comprehensive Planning Committee: Engagement,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/CQ_Engagement%20Slides_092122.pdf,PPS
2022-09-14-planning-committee-minutes,Comprehensive Planning Committee: Climate Response Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-09-14%20Climate%20Response%20Charrette%20Minutes.pdf,PPS
2022-09-14-planning-committee-climate-response-presentation,Comprehensive Planning Committee: Climate Response Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/Climate%20Response%20Charrette%20presentation%209-14-22.pdf,PPS
2022-09-07-planning-committee-video,Comprehensive Planning Committee Meeting #3: Video,https://www.youtube.com/watch?v=M2oTiR3G4bY,PPS
2022-09-07-planning-committee-presentation,Comprehensive Planning Committee Meeting #3: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-08-24%20CPC%20Meeting%203_FINAL.pdf,PPS
2022-09-07-planning-committee-minutes,Comprehensive Planning Committee Meeting #3.2: Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-09-07%20CPC-3.2%20Meeting%20Minutes.pdf,PPS
2022-08-24-townhall-video,Jefferson High Town Hall: Video,https://www.youtube.com/watch?v=MpMsWE_kl6w,PPS
2022-08-24-planning-committee-presentation,Comprehensive Planning Committee Meeting #3.1: Presentation,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-08-24%20CPC%20Meeting%203_FINAL.pdf,PPS
2022-08-24-planning-committee-minutes,Comprehensive Planning Committee Meeting #3: Minutes,https://www.pps.net/cms/lib/OR01913224/Centricity/Domain/62/2022-08-24%20CPC-3.1%20Meeting%20Minutes.pdf,PPS
